0	0	1	1	3	3	4	4	14	14	25	25	36	36	52	52	72	72	76	76	19	19	115	115	119	119	156	156	174	174	195	195	224	224	57	57	252	252	256	256	259	259	252	252	252	252	252	252	251	251	261	261
0	0	1	1	3	3	4	4	14	14	25	25	36	36	52	52	72	72	76	76	19	19	115	115	119	119	156	156	174	174	195	195	224	224	57	57	252	252	256	256	259	259	252	252	252	252	252	252	251	251	261	261
0	0	2	2	2	2	4	4	6	6	20	20	30	30	42	42	60	60	81	81	90	90	110	110	120	120	149	149	168	168	180	180	200	200	238	238	250	250	256	256	260	260	251	251	252	252	252	252	251	251	262	262
0	0	2	2	2	2	4	4	6	6	20	20	30	30	42	42	60	60	81	81	90	90	110	110	120	120	149	149	168	168	180	180	200	200	238	238	250	250	256	256	260	260	251	251	252	252	252	252	251	251	262	262
0	0	1	1	4	4	3	3	6	6	7	7	21	21	35	35	40	40	13	13	90	90	99	99	108	108	136	136	160	160	179	179	200	200	221	221	241	241	256	256	260	260	251	251	252	252	252	252	251	251	262	262
0	0	1	1	4	4	3	3	6	6	7	7	21	21	35	35	40	40	13	13	90	90	99	99	108	108	136	136	160	160	179	179	200	200	221	221	241	241	256	256	260	260	251	251	252	252	252	252	251	251	262	262
0	0	2	2	2	2	6	6	4	4	7	7	9	9	24	24	32	32	58	58	75	75	16	16	23	23	130	130	154	154	172	172	167	167	212	212	198	198	256	256	260	260	251	251	252	252	252	252	251	251	262	262
0	0	2	2	2	2	6	6	4	4	7	7	9	9	24	24	32	32	58	58	75	75	16	16	23	23	130	130	154	154	172	172	167	167	212	212	198	198	256	256	260	260	251	251	252	252	252	252	251	251	262	262
0	0	2	2	3	3	3	3	8	8	5	5	9	9	10	10	24	24	36	36	65	65	88	88	96	96	117	117	126	126	165	165	184	184	204	204	225	225	237	237	260	260	252	252	252	252	90	90	251	251	262	262
0	0	2	2	3	3	3	3	8	8	5	5	9	9	10	10	24	24	36	36	65	65	88	88	96	96	117	117	126	126	165	165	184	184	204	204	225	225	237	237	260	260	252	252	252	252	90	90	251	251	262	262
1	1	5	5	3	3	5	5	4	4	10	10	6	6	10	10	12	12	13	13	45	45	60	60	84	84	104	104	126	126	29	29	175	175	178	178	216	216	237	237	260	260	40	40	252	252	252	252	251	251	262	262
1	1	5	5	3	3	5	5	4	4	10	10	6	6	10	10	12	12	13	13	45	45	60	60	84	84	104	104	126	126	29	29	175	175	178	178	216	216	237	237	260	260	40	40	252	252	252	252	251	251	262	262
