0	1	4	6	18	27	39	56	68	90	110	121	144	162	182	180	200	255	252	256	258	251	252	252	261	262
0	2	11	6	8	10	36	45	64	81	105	115	29	156	174	195	224	238	243	256	260	251	252	252	251	262
0	2	4	4	8	10	24	38	48	72	90	104	126	130	167	187	208	229	252	256	260	251	252	252	251	262
0	2	3	6	6	10	12	14	44	63	80	93	114	143	153	180	200	195	243	256	260	83	252	125	251	262
0	2	4	5	8	7	12	14	16	45	19	88	107	130	147	164	192	212	243	256	260	252	252	102	251	262
1	5	4	6	6	10	9	14	16	18	55	71	90	110	133	150	176	204	225	237	250	252	252	252	251	262
1	7	10	6	8	8	12	10	16	18	20	55	78	97	119	142	168	178	216	237	260	252	252	251	251	262
1	8	13	14	8	10	9	14	12	18	20	22	42	65	91	135	160	178	198	228	220	252	253	252	251	261
1	10	15	20	20	10	12	11	16	13	20	22	24	64	91	120	39	170	180	209	239	252	252	253	251	262
1	10	19	24	26	25	12	11	12	18	15	22	24	26	63	97	112	136	171	189	220	241	253	252	251	262
1	10	20	26	32	30	12	14	12	14	20	22	24	26	28	75	104	119	153	171	210	231	54	253	251	262
1	12	23	29	36	43	42	35	32	14	15	22	18	26	28	30	72	102	135	161	180	209	242	252	252	262
1	11	23	32	38	45	48	15	44	32	15	17	24	19	28	30	32	33	98	132	170	188	220	241	251	262
1	13	23	36	44	45	57	50	52	18	35	17	18	26	21	30	32	34	72	114	140	136	209	230	252	262
2	13	23	35	44	50	57	60	64	63	55	44	24	20	28	22	32	34	36	85	89	147	153	207	228	262
2	15	26	38	50	58	66	70	76	19	70	66	48	20	21	30	24	34	36	37	80	52	165	184	215	237
2	15	27	38	50	60	69	74	80	72	80	77	66	52	21	23	32	25	36	38	39	84	54	172	191	224
2	15	26	42	53	21	13	81	88	19	90	94	90	78	56	23	24	34	27	38	40	42	77	91	155	200
2	15	29	42	54	65	75	84	92	99	90	99	90	98	91	75	24	26	36	38	40	42	44	80	131	175
2	15	30	44	55	70	78	91	96	104	105	105	102	98	105	98	32	26	27	38	40	42	44	46	47	137
2	16	31	47	60	70	81	95	104	108	115	121	108	124	119	113	96	85	27	29	40	42	44	46	47	49
2	17	30	47	56	73	84	95	104	113	125	127	25	137	133	135	112	111	81	29	30	42	44	46	48	50
3	17	33	48	62	73	40	102	108	122	130	121	144	137	140	150	136	128	117	95	30	32	44	46	48	50
3	17	33	51	64	82	84	102	108	55	135	143	150	156	161	150	152	145	126	105	100	32	33	46	48	50
3	18	34	51	66	80	93	109	116	131	145	149	144	163	161	173	168	170	153	152	130	105	66	35	48	50
3	17	33	53	66	80	95	109	120	59	130	149	150	169	175	180	192	179	189	162	160	137	44	46	36	50
